28.11.2022;DJ Dog Torsten Volknant;Miete Technik Halloweenparty;-63,30 €;41_2022_1031
18.11.2022;VR Bank Filiale Ohrdruf;Auszahlung Münzgeld ;-200,00 €;
11.11.2022;Stadtverwaltung Tambach-Dietharz;Einkauf Tickets Halloweenparty (für Online weiterverkauf);-384,00 €;2022-11-11-0001
11.11.2022;Touristinformation Tambach-Dietharz;Kostenbeteiligung Halloweenparty;-360,00 €;2022-11-11-0002
10.11.2022;Moritz Tanz (TNZ Dienstleistungen);Jahresrechnung Webhosting;-45,18 €;RE-1023
09.11.2022;Amazon Payments Europe S.C.A.;Einkauf Klarsichtfolien A5;-13,99 €;DS-ASE-INV-DE-2022-351896056
07.11.2022;Eventbrite Operations Limited;Auszahlung Ticketverkäufe Halloweenparty;384,00 €;46156669
07.01.2022;Markgrafen Getränkemarkt;Einkauf Getränke Waldbegehung + Halloweenparty;-364,31 €;2022-11-06-0015
07.11.2022;Kein Vermietung Volkmar Kein;Miete Schankwagen 2 Halloweenparty;-119,00 €;20/2022
07.11.2022;Getränke Kein;Getränkeeinkauf + Miete Schank- & Kühlwagen Halloweenparty;-3.350,17 €;221756
06.11.2022;TNZ Dienstleistungen;Helfershirts & Hoodies;-719,95 €;RE-1018
02.11.2022;VR Bank Filiale Ohrdruf;Bargeldeinzahlung;10.000,00 €;2022-11-06-0002
02.11.2022;VR Bank Filiale Ohrdruf;Bargeldeinzahlung;4.865,00 €;2022-11-06-0003
02.11.2022;VR Bank Filiale Ohrdruf;Bargeldeinzahlung Korrektur;10,00 €;
02.11.2022;Amazon Payments Europe S.C.A.;Rückerstattung Kreidestifte;16,95 €;DS-ASE-INV-DE-2022-323655049
01.11.2022;RatePay (Verpackungsteam/Metro);Einkauf Pappbecher Halloweenparty;-29,43 €;2050740
01.11.2022;WINTEC Autoglas Spreda;Anfertigung Aufkleber (Datum) Banner Sommerkino;-119,00 €;50515-48621
01.11.2022;VR Bank Westthüringen eG;Storno Entgeld;15,00 €;
31.10.2022;Netto Marken Discount;Einkauf Wiener Würstchen Halloweenparty;-35,90 €;2022-11-06-0006
31.10.2022;SB Union Großmarkt Gotha;Einkauf Rostbrätel Waldbegehung + Halloweenparty;-306,83 €;2022-11-06-0008
31.10.2022;SB Union Großmarkt Gotha;Einkauf Zubehör Halloweenparty;-128,82 €;2022-11-06-0007
28.10.2022;VR Bank Filiale Ohrdruf;Barauszahlung für Halloweenparty;-2.375,00 €;2022-11-06-0001
